ingredient_symbol,ingredient_name,ingredient_class,form_description,price_usd_per_ton,price_year,price_region,price_source,first_author,pub_year,doi,notes
CORN,Yellow corn no. 2,energy,Grain - as fed basis,215,2022-2024,USA,estimated,,,,"Highly volatile; will be replaced by fetch_prices(). Typical Midwest US range $170-280/ton."
SOR,Grain sorghum (milo),energy,Grain - as fed basis,200,2022-2024,USA,estimated,,,,"Volatile commodity. Priced at a discount to corn when feed value is similar."
WHEAT,Hard red winter wheat,energy,Grain - as fed basis,250,2022-2024,USA,estimated,,,,"Volatile. High variation in market price."
OATS,Oats,energy,Grain - as fed basis,200,2022-2024,USA,estimated,,,,"Less common in commercial swine diets. Regional availability varies."
BARLEY,Barley,energy,Grain - as fed basis,180,2022-2024,USA,estimated,,,,"More common in Midwest and Pacific Northwest."
SBM44,Soybean meal 44% CP,protein,Dehulled solvent extracted - 44% CP as fed,430,2022-2024,USA,estimated,,,,"Highly volatile. Will be replaced by fetch_prices(). Typical US range $350-550/ton."
SBM48,Soybean meal 48% CP,protein,Dehulled solvent extracted - 48% CP as fed,450,2022-2024,USA,estimated,,,,"Premium dehulled form. Typical US range $380-580/ton."
DDGS,Corn DDGS,protein,Distillers dried grains with solubles - ~27% CP,215,2022-2024,USA,estimated,,,,"Typically priced as a fraction of corn + SBM blended replacement value. Typical US range $160-270/ton."
CANM,Canola meal,protein,Solvent extracted - ~36% CP,380,2022-2024,USA,estimated,,,,"Alternative to SBM when price is favorable. More common in Canada and Upper Midwest."
FISH65,Fish meal 65% CP,protein,Menhaden or anchovy - ~65% CP,1500,2018,USA,literature,Von Eschen,2019,10.4236/ojas.2019.92016,"Von Eschen et al. (2019) cite IndexMundi (2018): fish meal ~$1500/metric ton. Highly volatile; range $1200-1800/ton."
MBM50,Meat and bone meal 50% CP,protein,Rendered - ~50% CP,500,2022-2024,USA,estimated,,,,"Biosecurity concerns limit use in some markets. Range $400-650/ton."
BLMEAL,Blood meal,protein,Spray-dried - ~80% CP,900,2022-2024,USA,estimated,,,,"Expensive high-quality protein. Used mainly in starter/nursery diets. Range $750-1200/ton."
WHLYS,Dried whey,protein,Spray-dried - ~12% CP / high lactose,500,2022-2024,USA,estimated,,,,"Nursery ingredient for palatability and lactose. Range $450-700/ton."
CGLS,Corn gluten meal 60%,protein,Wet milled - ~60% CP,600,2022-2024,USA,estimated,,,,"High-energy protein. Yellow pigment; rarely used in swine above 5% inclusion."
SBNO,Soybean oil,fat,Crude or refined - ~100% fat,1000,2022-2024,USA,estimated,,,,"Volatile. Range $800-1400/ton. Added for energy density; 2-3% typical in finisher."
CWG,Choice white grease,fat,Rendered pork fat - ~100% fat,750,2022-2024,USA,estimated,,,,"Common US fat source for swine finisher diets. Range $500-950/ton."
PFAT,Poultry fat,fat,Rendered - ~100% fat,850,2022-2024,USA,estimated,,,,"Moderate PUFA content. Range $700-1100/ton depending on region."
TALL,Beef tallow,fat,Edible or feed-grade - ~100% fat,650,2022-2024,USA,estimated,,,,"Highly saturated; improves carcass firmness at high DDGS inclusion. Range $500-850/ton."
LLYS,L-Lysine HCl,amino_acid,L-Lysine HCl (78.8% Lys equivalent) - ~98.5% purity,1800,2022-2024,USA,estimated,,,,"Globally traded. Typical US range $1200-2800/ton - highly volatile."
DLMET,DL-Methionine,amino_acid,DL-Methionine 99% purity,4500,2022-2024,USA,estimated,,,,"Globally traded. Typical US range $3500-6000/ton."
LTHR,L-Threonine,amino_acid,L-Threonine 98.5% purity,2200,2022-2024,USA,estimated,,,,"Globally traded. Typical US range $1500-3500/ton."
LTRP,L-Tryptophan,amino_acid,L-Tryptophan 98% purity,12000,2022-2024,Global,estimated,,,,"Fourth limiting AA in corn-SBM swine diets. Range $8000-18000/ton."
LVAL,L-Valine,amino_acid,L-Valine 99% purity,5500,2022-2024,Global,estimated,,,,"Fifth limiting AA. Used in low-CP diets. Range $4000-8000/ton."
LILE,L-Isoleucine,amino_acid,L-Isoleucine 98.5% purity,7000,2022-2024,Global,estimated,,,,"Sixth limiting AA. Range $5000-10000/ton."
CHOC60,Choline chloride 60%,amino_acid,Choline chloride on silica carrier - 60% choline chloride,900,2022-2024,Global,estimated,,,,"Included at ~500-1500 g/ton in swine diets. Range $700-1200/ton."
LARG,L-Arginine,amino_acid,L-Arginine 99% purity,3000,2022-2024,Global,estimated,,,,"Conditionally essential in early-weaned pigs. Not routinely supplemented."
LIME,Limestone,mineral,Calcium carbonate - ~38% Ca,80,2022-2024,USA,estimated,,,,"Very stable; mined locally. US range $60-110/ton."
